country,year,sex,age_group,population,population_density,median_age,fertility_rate,life_expectancy,net_migration,urban_population_percent,dependency_ratio,birth_rate,death_rate,population_growth_rate
Czechia,2019,Male,65+,2956868,111.23,39.1,1.26,77.4,31490,69.4,47.1,7.09,12.83,-0.95
Czechia,2019,Female,0-14,2567793,388.52,41.2,1.8,82.6,25010,82.1,57.0,10.28,8.05,2.21
Czechia,2019,Female,15-29,538968,202.4,39.8,1.2,79.5,-44087,85.8,48.1,9.26,10.45,1.25
Czechia,2019,Female,30-44,2278553,442.42,40.0,2.02,83.9,5609,87.1,52.9,11.91,12.55,0.55
Czechia,2019,Female,45-64,4103492,78.05,45.1,1.72,83.9,15169,60.6,57.1,8.39,13.17,-0.37
Czechia,2019,Female,65+,1958981,346.88,37.7,1.23,78.7,-13155,84.3,56.1,11.74,11.03,2.05
Czechia,2019,Total,0-14,3154857,418.76,40.1,1.45,77.4,40209,69.2,63.5,9.94,10.45,1.1
Czechia,2019,Total,15-29,1719163,224.0,37.7,1.73,78.3,42019,66.1,48.1,11.4,10.6,0.15
Czechia,2019,Total,30-44,2008074,452.44,46.2,2.06,75.1,-11572,65.3,50.0,11.05,13.68,-0.96
Czechia,2019,Total,45-64,4262022,130.66,35.7,1.49,76.3,-38581,64.5,53.0,11.52,13.99,2.45
Czechia,2019,Total,65+,3550975,314.92,39.0,1.73,77.8,13350,66.7,48.8,9.14,11.95,-0.44
Czechia,2020,Male,0-14,1558346,167.78,35.1,1.54,75.6,131,72.5,54.2,8.75,11.77,1.64
Czechia,2020,Male,15-29,3979301,381.66,45.9,1.98,81.1,-16358,81.7,61.1,8.45,11.98,0.21
Czechia,2020,Male,30-44,1971897,427.88,35.8,1.23,77.3,-46561,74.9,51.3,10.77,9.32,0.05
Czechia,2020,Male,45-64,2166811,421.13,42.5,1.8,76.9,-46935,68.5,48.5,10.72,9.51,0.32
Czechia,2020,Male,65+,4747927,162.39,40.8,1.6,76.1,22302,78.0,53.4,9.16,8.32,0.57
Czechia,2020,Female,0-14,3628687,320.21,44.1,1.63,83.4,-4972,65.9,60.5,11.16,10.17,-0.65
Czechia,2020,Female,15-29,1274293,183.96,37.5,1.64,75.2,708,84.2,50.1,8.24,11.54,-1.22
Czechia,2020,Female,30-44,3945972,89.78,39.8,1.35,77.3,-43370,74.7,45.7,9.68,12.23,-0.14
Czechia,2020,Female,45-64,779672,160.93,44.3,1.52,82.3,-39645,69.3,58.2,9.83,10.83,0.48
Czechia,2020,Female,65+,1364530,344.04,45.7,1.25,76.3,28047,70.7,51.5,7.12,11.0,0.43
Czechia,2020,Total,0-14,298924,389.23,40.9,1.51,76.3,-23003,80.6,61.8,9.07,12.61,-1.34
Czechia,2020,Total,15-29,2617375,125.44,39.8,1.96,78.1,32208,68.8,46.7,10.8,9.88,0.34
Czechia,2020,Total,30-44,2132214,69.42,46.9,1.31,75.7,41189,64.1,53.3,8.93,11.21,1.87
Czechia,2020,Total,45-64,4387074,223.03,43.6,1.66,83.5,-5866,69.3,50.8,10.99,12.7,-0.09
Czechia,2020,Total,65+,563676,431.21,37.9,1.99,75.2,-40383,65.6,55.2,11.96,11.92,-1.25
Czechia,2021,Male,0-14,860672,251.04,35.3,1.82,79.3,21725,89.8,53.4,10.04,8.63,0.32
Czechia,2021,Male,15-29,2131530,414.04,45.3,1.75,75.1,-12611,85.0,49.0,9.26,12.15,1.05
Czechia,2021,Male,30-44,3393473,32.05,46.1,1.3,75.9,5598,71.2,49.3,9.93,10.66,-1.36
Czechia,2021,Male,45-64,3239291,354.16,43.7,1.83,77.8,42479,68.2,61.6,11.9,10.96,-1.46
Czechia,2021,Male,65+,3872270,181.38,41.9,1.27,83.5,-41880,64.7,51.8,7.1,10.18,0.63
Czechia,2021,Female,0-14,3367837,329.86,42.5,1.7,83.9,41393,65.9,45.6,11.03,8.12,1.82
Czechia,2021,Female,15-29,1805864,488.1,42.2,1.86,76.0,5896,61.1,57.3,11.14,8.95,0.88
Czechia,2021,Female,30-44,2815453,107.17,36.5,2.08,78.5,-29677,81.8,47.1,8.03,8.89,1.69
Czechia,2021,Female,45-64,1736279,449.96,39.7,1.48,79.2,39787,63.4,51.3,11.05,9.6,-0.64
Czechia,2021,Female,65+,4861102,493.93,41.7,1.45,78.6,10695,82.9,60.5,11.38,8.16,0.75
Czechia,2021,Total,0-14,4513593,430.99,38.2,1.67,79.1,26025,88.6,60.5,11.02,11.19,-0.75
Czechia,2021,Total,15-29,1527482,288.26,43.1,1.75,78.5,-20797,65.0,58.9,10.23,12.12,-0.01
Czechia,2021,Total,30-44,3009532,384.79,42.8,1.77,80.0,-21585,71.2,59.0,11.18,12.13,0.55
Czechia,2021,Total,45-64,1032912,331.89,43.2,1.7,80.6,-47634,75.4,48.3,11.89,8.65,2.23
Czechia,2021,Total,65+,961345,276.92,43.7,1.59,80.7,-352,72.1,48.2,7.59,12.56,2.21
Czechia,2022,Male,0-14,1747152,149.12,35.9,1.29,82.3,-18874,80.5,60.9,7.56,11.2,-1.09
Czechia,2022,Male,15-29,4768648,268.59,44.7,1.53,76.1,16483,81.3,52.3,11.17,10.73,1.38
Czechia,2022,Male,30-44,184607,301.25,43.4,1.77,83.9,38989,69.5,64.5,8.28,10.74,-1.38
Czechia,2022,Male,45-64,3241833,273.19,40.2,2.09,83.3,16351,76.4,45.8,8.58,11.45,2.3
Czechia,2022,Male,65+,1024687,137.33,37.6,1.38,83.3,-28444,84.4,59.8,10.68,9.07,1.8
Czechia,2022,Female,0-14,3176773,267.36,35.4,1.32,83.0,-44406,75.4,47.1,10.3,13.02,1.37
Czechia,2022,Female,15-29,883230,369.63,37.5,1.5,79.2,5665,82.4,53.8,10.67,11.75,1.92
Czechia,2022,Female,30-44,1590850,317.71,40.2,1.26,79.4,18247,86.2,47.4,9.26,13.47,1.76
Czechia,2022,Female,45-64,636901,207.75,41.9,1.91,77.9,-13351,65.7,52.0,11.65,12.8,0.23
Czechia,2022,Female,65+,3869128,367.18,46.3,1.67,79.9,-30606,61.3,57.5,9.81,10.41,1.08
Czechia,2022,Total,0-14,3592635,147.77,39.8,1.59,82.9,-22416,86.8,59.4,9.92,12.14,2.26
Czechia,2022,Total,15-29,2092896,281.51,43.3,1.81,77.3,-47541,76.6,58.2,8.61,10.89,0.97
Czechia,2022,Total,30-44,2686859,280.95,42.2,1.23,76.5,-24526,72.6,55.2,7.31,13.0,1.64
Czechia,2022,Total,45-64,4602939,328.13,44.8,1.78,77.8,9004,88.0,57.1,10.3,10.41,2.14
Czechia,2022,Total,65+,995424,481.21,44.8,1.97,76.5,24092,68.6,50.4,11.28,8.19,-1.2
Czechia,2023,Male,0-14,2100276,312.64,41.6,1.73,83.4,-37793,61.4,48.8,7.84,9.09,1.19
Czechia,2023,Male,15-29,2192856,368.82,43.7,1.2,83.6,-43345,87.1,45.3,11.67,12.86,1.85
Czechia,2023,Male,30-44,1422407,377.23,46.5,1.81,80.1,1550,86.3,47.5,11.38,11.07,0.12
Czechia,2023,Male,45-64,4859073,359.38,46.1,1.54,77.2,-26984,83.9,45.1,10.16,11.58,-0.23
Czechia,2023,Male,65+,1128562,458.07,45.2,1.31,75.8,-35310,71.8,50.8,11.11,10.71,0.51
Czechia,2023,Female,0-14,4780111,210.46,43.8,1.63,76.1,21835,66.7,46.1,10.99,8.92,1.0
Czechia,2023,Female,15-29,3282607,263.22,43.3,1.5,81.3,-10530,81.1,54.9,11.57,10.94,0.3
Czechia,2023,Female,30-44,746084,281.16,45.0,1.56,81.5,-25314,69.1,60.4,8.64,9.45,-0.82
Czechia,2023,Female,45-64,3716279,90.96,40.4,1.66,81.2,6782,65.4,60.3,10.93,11.4,2.33
Czechia,2023,Female,65+,547165,133.22,43.1,1.88,77.0,-3,81.6,51.7,8.45,11.25,-1.41
Czechia,2023,Total,0-14,3007135,226.45,46.3,1.85,75.8,-30535,85.2,57.9,10.05,10.8,1.01
Czechia,2023,Total,15-29,1315777,270.65,41.6,1.68,80.1,-28674,80.1,57.6,7.09,11.25,-1.15
Czechia,2023,Total,30-44,4314864,154.61,40.9,1.96,79.5,28948,65.4,60.3,9.47,13.28,0.09
Czechia,2023,Total,45-64,4871571,154.49,39.2,1.84,78.3,24420,74.8,60.7,11.74,10.14,-0.5
Czechia,2023,Total,65+,4272042,445.8,42.4,1.59,76.6,-8448,89.3,61.9,7.89,13.43,-0.14
Czechia,2024,Male,0-14,732286,389.92,40.3,1.84,78.5,36916,81.7,48.5,9.95,12.17,-0.12
Czechia,2024,Male,15-29,2289031,284.51,45.1,1.89,75.5,-15014,78.1,62.6,8.62,10.38,0.13
Czechia,2024,Male,30-44,1190170,193.44,45.5,1.38,75.7,-39319,75.4,56.7,7.9,12.41,-0.75
Czechia,2024,Male,45-64,876278,420.22,40.0,1.37,77.6,-21886,84.1,61.2,8.23,11.69,0.27
Czechia,2024,Male,65+,1627127,435.55,36.0,1.9,79.4,-9157,80.9,53.2,11.38,9.79,-1.45
Czechia,2024,Female,0-14,563672,301.7,39.5,1.68,82.9,-9353,84.4,58.3,8.7,8.42,0.82
Czechia,2024,Female,15-29,4106926,140.64,43.7,1.54,75.1,-25526,76.2,47.6,9.63,10.37,-0.78
Czechia,2024,Female,30-44,641952,176.7,35.2,1.29,77.7,-3053,66.0,55.2,7.79,12.03,1.52
Czechia,2024,Female,45-64,4427577,173.5,45.8,1.78,81.9,-243,75.8,55.3,11.62,11.29,0.83
Czechia,2024,Female,65+,4526952,395.28,38.4,1.96,78.9,7732,84.7,48.8,10.51,9.74,-0.31
Czechia,2024,Total,0-14,4168308,357.33,37.0,1.33,79.1,-10059,63.1,49.8,8.9,10.86,-1.32
Czechia,2024,Total,15-29,619503,366.55,38.9,1.49,79.0,-3771,73.1,52.1,7.36,12.04,1.8
Czechia,2024,Total,30-44,874026,341.68,39.1,1.82,75.2,20592,73.4,54.2,8.29,12.29,1.39
Czechia,2024,Total,45-64,4976788,270.72,39.3,1.62,81.2,-47984,66.2,63.4,11.08,13.87,2.02
Czechia,2024,Total,65+,2800728,205.61,43.3,1.8,76.4,-41480,84.1,63.0,10.12,8.03,-0.75
Denmark,2015,Male,0-14,551775,266.53,42.7,1.47,81.4,37340,65.4,57.9,9.32,10.97,0.21
Denmark,2015,Male,15-29,4094070,248.42,42.4,1.29,83.6,-21475,87.9,52.6,9.32,8.53,0.94
Denmark,2015,Male,30-44,4785589,306.13,35.7,2.06,76.3,-29439,80.9,57.5,7.95,10.82,1.38
Denmark,2015,Male,45-64,646432,132.2,38.1,1.64,83.7,46346,68.5,52.3,9.32,13.87,-0.81
Denmark,2015,Male,65+,312968,476.06,35.9,2.04,78.3,6354,66.8,45.4,10.02,12.02,0.91
Denmark,2015,Female,0-14,4390015,308.78,37.2,1.51,78.1,-27813,64.8,45.9,8.97,10.5,0.3
Denmark,2015,Female,15-29,3192475,478.59,36.4,2.05,81.6,23501,88.0,50.0,10.21,9.65,0.53
Denmark,2015,Female,30-44,4931841,305.81,45.0,1.27,81.2,-47292,79.8,59.2,7.05,10.64,1.87
Denmark,2015,Female,45-64,2216458,176.35,45.5,1.34,76.9,49599,70.6,59.3,7.79,9.51,-0.87
Denmark,2015,Female,65+,3590564,220.54,39.0,1.21,76.4,-34139,62.1,55.2,9.28,12.6,1.14
Denmark,2015,Total,0-14,2776465,90.09,43.9,1.56,77.4,-5603,87.4,46.3,7.28,9.12,2.14
Denmark,2015,Total,15-29,2055187,393.07,37.1,1.24,80.9,-5580,84.8,45.5,8.22,8.92,1.94
Denmark,2015,Total,30-44,3258236,145.75,45.8,1.29,83.8,28672,81.2,50.8,7.83,13.53,0.19
Denmark,2015,Total,45-64,985026,213.14,43.9,1.55,78.0,30781,72.8,49.7,11.97,13.74,1.87
Denmark,2015,Total,65+,3803281,79.69,43.0,1.46,76.8,2482,87.5,57.1,11.02,12.75,-0.73
Denmark,2016,Male,0-14,211686,206.9,43.1,1.9,79.8,40886,69.5,55.6,9.56,13.73,0.41
Denmark,2016,Male,15-29,860713,205.49,45.8,2.03,83.4,-32557,67.9,45.8,8.53,12.47,-1.31
Denmark,2016,Male,30-44,2391978,302.09,39.7,1.72,79.6,-16638,71.6,48.2,8.99,11.48,2.29
Denmark,2016,Male,45-64,1731821,305.97,40.7,1.49,81.5,17203,69.4,61.4,9.77,10.7,-0.36
Denmark,2016,Male,65+,2561022,210.06,45.0,2.07,78.9,572,69.6,60.3,8.03,13.4,0.59
Denmark,2016,Female,0-14,3221050,218.4,37.5,1.38,79.6,23079,84.0,51.9,7.86,8.02,0.3
Denmark,2016,Female,15-29,3787609,264.99,36.7,1.4,80.8,-41169,66.8,54.6,9.49,9.29,-0.41
Denmark,2016,Female,30-44,940648,367.68,44.2,1.62,81.4,-32844,67.8,48.3,8.68,11.33,0.8
Denmark,2016,Female,45-64,122847,89.06,36.7,1.87,79.2,-25491,85.2,53.6,10.63,11.06,0.99
Denmark,2016,Female,65+,3594450,329.78,35.1,1.23,82.7,-33400,85.0,58.2,8.75,12.02,1.07
Denmark,2016,Total,0-14,4939798,425.47,42.8,1.51,82.0,5746,66.6,50.4,8.21,13.95,-0.71
Denmark,2016,Total,15-29,1820358,371.11,42.9,1.86,78.2,-46409,79.0,60.2,11.93,9.08,1.56
Denmark,2016,Total,30-44,3960762,157.54,37.2,1.81,79.8,22999,67.7,45.7,9.05,8.64,2.12
Denmark,2016,Total,45-64,1058008,356.95,46.3,1.69,81.9,-34221,79.4,45.7,7.01,8.47,1.55
Denmark,2016,Total,65+,2593071,37.03,38.2,1.66,80.2,-45904,88.0,51.5,7.68,9.42,1.6
Denmark,2017,Male,0-14,3404775,91.5,43.1,1.7,82.1,-28506,67.7,56.9,7.08,9.56,1.15
Denmark,2017,Male,15-29,3540513,148.37,44.3,2.06,81.3,43899,60.7,55.0,8.37,11.89,1.39
Denmark,2017,Male,30-44,3411661,253.45,46.9,2.08,82.9,-7575,76.1,60.4,10.31,10.46,2.08
Denmark,2017,Male,45-64,2015760,313.71,46.0,1.25,76.4,33446,70.8,47.4,11.98,12.72,0.13
Denmark,2017,Male,65+,4696505,363.81,36.4,1.57,82.6,4911,78.7,45.1,7.22,13.42,0.61
Denmark,2017,Female,0-14,2671485,435.62,40.8,1.27,80.0,2076,64.6,53.0,8.83,11.36,1.16
Denmark,2017,Female,15-29,4857144,332.56,39.0,1.23,77.6,15642,68.6,55.3,8.32,9.26,0.9
Denmark,2017,Female,30-44,4512028,263.26,40.0,1.9,81.6,36173,72.7,56.3,8.83,13.62,-1.28
Denmark,2017,Female,45-64,3501020,448.9,44.6,1.37,77.7,-20244,66.0,64.8,11.01,12.49,1.68
Denmark,2017,Female,65+,792476,367.35,43.2,1.95,75.4,-11949,72.4,54.5,9.06,13.58,-0.13
Denmark,2017,Total,0-14,2599698,427.13,35.0,1.35,75.3,45287,60.6,47.6,10.77,10.83,-0.9
Denmark,2017,Total,15-29,1291165,87.58,37.5,1.23,78.9,-46257,76.3,45.4,9.61,11.82,-0.56
Denmark,2017,Total,30-44,3538271,239.16,47.0,1.95,83.0,13083,77.0,64.6,11.49,13.72,0.04
Denmark,2017,Total,45-64,638829,321.35,36.0,1.94,81.1,-33733,61.6,45.2,10.31,9.74,-0.49
Denmark,2017,Total,65+,3524484,93.35,46.0,1.62,80.1,-26355,80.2,52.7,8.26,9.0,-0.1
Denmark,2018,Male,0-14,2511897,385.65,43.0,1.41,80.3,-2976,83.1,62.1,7.0,10.17,1.45
Denmark,2018,Male,15-29,520897,81.53,44.0,1.32,75.6,-26534,84.9,63.6,10.75,13.06,0.38
Denmark,2018,Male,30-44,4789233,420.18,46.4,1.77,78.2,-40362,69.4,63.2,11.35,11.35,-0.2
Denmark,2018,Male,45-64,1857853,347.44,38.9,1.27,80.3,-4903,74.6,63.1,11.18,8.88,1.33
Denmark,2018,Male,65+,4360500,147.62,43.2,1.87,76.6,18591,78.2,54.5,11.33,8.19,1.08
Denmark,2018,Female,0-14,1695589,372.65,46.1,1.5,79.5,-2502,72.5,56.2,9.15,13.8,0.92
Denmark,2018,Female,15-29,3486262,457.37,35.1,1.86,76.4,-41924,86.8,58.1,10.36,8.03,2.44
Denmark,2018,Female,30-44,3827343,319.65,46.2,2.06,76.9,-24844,68.7,56.3,7.5,13.53,-0.94
Denmark,2018,Female,45-64,1284498,170.81,42.5,1.62,76.0,34860,60.0,60.1,11.93,12.86,0.34
Denmark,2018,Female,65+,4029062,222.63,41.3,1.63,79.0,9119,84.6,63.3,9.68,12.37,-1.01
Denmark,2018,Total,0-14,4829313,138.08,36.8,1.79,81.1,30140,82.3,63.0,11.09,13.94,-0.73
Denmark,2018,Total,15-29,3530069,172.75,46.8,1.45,76.8,16330,77.3,50.2,11.54,8.13,-0.11
Denmark,2018,Total,30-44,1091431,263.6,35.4,1.75,81.4,-45631,61.9,47.2,10.25,9.87,-0.11
Denmark,2018,Total,45-64,2107067,428.1,44.9,1.54,80.3,42944,69.1,50.4,9.66,11.64,0.46
Denmark,2018,Total,65+,1542669,360.42,37.7,1.44,79.6,-17678,79.0,54.2,9.78,9.71,-1.4
Denmark,2019,Male,0-14,133576,74.29,37.1,1.29,80.5,-38833,88.7,45.2,11.95,12.1,1.07
Denmark,2019,Male,15-29,3068110,434.78,36.7,1.95,75.1,-10037,73.0,49.0,7.54,10.64,-1.01
Denmark,2019,Male,30-44,558907,36.8,36.4,1.78,80.1,13308,74.1,63.5,8.99,11.75,1.62
Denmark,2019,Male,45-64,3151627,447.45,45.3,1.96,79.3,-39466,67.2,50.6,7.27,12.77,0.17
Denmark,2019,Male,65+,2631243,202.13,40.2,1.32,79.1,11404,78.5,54.5,8.96,13.49,-1.0
Denmark,2019,Female,0-14,2103171,220.16,40.3,1.99,79.2,6063,64.2,55.3,8.21,9.11,-1.24
Denmark,2019,Female,15-29,4060673,354.13,40.6,1.6,79.0,-39777,74.1,52.8,8.88,11.84,0.48
Denmark,2019,Female,30-44,3689342,441.11,37.0,1.32,80.7,24095,75.6,58.6,7.43,10.77,1.47
Denmark,2019,Female,45-64,4064676,343.58,37.9,1.84,80.4,-18665,69.2,51.4,7.8,9.23,1.65
Denmark,2019,Female,65+,4833063,254.71,41.1,1.97,81.1,9201,86.7,64.5,10.5,11.01,-0.83
Denmark,2019,Total,0-14,1348972,72.89,43.1,1.85,83.7,41820,86.0,57.6,9.36,12.03,0.93
Denmark,2019,Total,15-29,196539,208.43,39.6,1.73,80.8,38290,84.0,56.6,10.87,10.0,1.83
Denmark,2019,Total,30-44,4924010,201.53,38.3,1.66,78.0,20290,68.0,64.3,7.8,12.72,2.44
Denmark,2019,Total,45-64,1640143,467.77,38.9,2.03,82.1,-1519,88.1,45.2,9.94,11.01,1.99
Denmark,2019,Total,65+,124474,157.4,38.7,1.66,81.4,-2542,88.6,63.4,7.27,10.16,1.75
Denmark,2020,Male,0-14,1116970,233.2,46.8,1.28,83.3,1993,77.5,46.0,10.02,12.8,0.84
Denmark,2020,Male,15-29,4035977,206.12,46.1,1.95,76.0,49655,72.8,47.0,10.1,8.86,0.59
Denmark,2020,Male,30-44,1368154,178.8,43.1,1.64,83.8,32979,76.3,48.1,8.25,12.43,1.72
Denmark,2020,Male,45-64,4331282,202.95,35.9,1.84,75.0,-40478,67.1,63.2,8.55,13.86,-0.37
Denmark,2020,Male,65+,1384996,120.62,39.7,2.05,78.8,-23433,66.7,59.1,7.95,11.32,-0.49
Denmark,2020,Female,0-14,2383261,228.57,44.4,2.08,75.5,23920,67.0,54.8,11.36,12.27,0.82
Denmark,2020,Female,15-29,4828391,186.8,35.5,1.33,83.3,22717,72.5,52.0,11.29,8.76,0.76
Denmark,2020,Female,30-44,1738120,361.25,45.9,1.59,79.4,-25353,75.6,54.8,9.89,12.14,-1.07
Denmark,2020,Female,45-64,3477495,251.06,38.8,1.76,80.9,23511,63.0,57.7,11.4,13.33,2.33
Denmark,2020,Female,65+,2274615,210.05,39.0,1.6,78.1,20949,84.2,47.5,11.85,11.33,-0.77
Denmark,2020,Total,0-14,1579451,498.83,40.9,1.36,79.6,41801,83.9,46.0,11.28,11.95,0.24
Denmark,2020,Total,15-29,3184122,449.92,37.3,1.32,83.8,-18581,77.1,49.9,9.49,12.86,0.38
Denmark,2020,Total,30-44,1875779,428.33,39.0,1.56,78.8,34983,74.8,48.4,8.39,8.95,-0.72
Denmark,2020,Total,45-64,1429233,215.84,44.8,1.71,75.4,5598,85.9,56.3,11.75,8.43,-0.32
Denmark,2020,Total,65+,840243,418.07,43.4,1.27,78.8,-23286,76.1,50.5,9.4,12.47,-0.68
Denmark,2021,Male,0-14,2652021,192.67,44.0,1.96,78.4,38131,64.6,46.7,10.21,10.83,2.13
Denmark,2021,Male,15-29,4509895,164.96,41.0,1.61,78.1,17471,87.9,57.5,8.72,8.92,-0.44
Denmark,2021,Male,30-44,1109288,348.23,40.7,2.09,81.6,-19194,68.5,62.6,8.64,9.74,-0.42
Denmark,2021,Male,45-64,1431173,204.05,35.2,1.67,79.5,3389,60.6,45.3,9.6,12.18,2.27
Denmark,2021,Male,65+,2627697,234.94,42.5,1.96,81.1,24237,81.4,53.7,8.47,8.3,0.45
Denmark,2021,Female,0-14,1480264,148.21,43.3,1.89,77.2,-11507,78.2,47.1,11.18,12.89,0.63
Denmark,2021,Female,15-29,2373729,145.84,35.1,1.41,76.2,10669,69.1,55.2,10.74,10.78,0.91
Denmark,2021,Female,30-44,2909453,47.51,35.3,1.87,77.9,-28437,83.0,59.4,11.41,11.84,-1.23
Denmark,2021,Female,45-64,2169990,409.73,37.0,1.83,82.0,-36464,74.8,57.4,9.72,12.44,1.32
Denmark,2021,Female,65+,4288119,311.59,46.9,1.28,76.1,2253,82.9,56.7,7.36,13.35,-1.38
Denmark,2021,Total,0-14,1551012,299.76,45.2,1.56,77.7,43925,72.8,51.6,7.45,11.38,0.42
Denmark,2021,Total,15-29,4511733,417.89,35.8,1.35,77.8,38377,72.3,64.1,11.33,9.78,-0.86
Denmark,2021,Total,30-44,2735293,218.89,41.9,1.73,81.7,-40325,71.3,59.2,7.1,11.42,-0.16
Denmark,2021,Total,45-64,4428023,480.38,36.1,1.41,75.4,-30664,75.7,55.9,8.96,9.86,-0.49
Denmark,2021,Total,65+,3772490,169.5,39.3,2.02,83.1,807,79.6,62.1,8.44,9.1,0.02
Denmark,2022,Male,0-14,458449,290.3,41.4,1.49,75.7,41685,66.7,62.6,9.41,11.38,0.87
Denmark,2022,Male,15-29,4109833,149.39,45.3,1.83,79.9,-5213,80.4,46.1,9.82,9.26,2.3
Denmark,2022,Male,30-44,4774044,182.85,46.1,1.58,83.7,-48155,82.4,62.4,9.68,12.51,-0.94
Denmark,2022,Male,45-64,2705844,309.24,44.6,1.56,76.9,-2525,64.0,48.5,8.79,9.74,0.96
Denmark,2022,Male,65+,1906719,41.18,39.8,1.47,81.4,-23515,66.2,55.5,9.78,12.45,-0.62
Denmark,2022,Female,0-14,4872724,350.77,45.2,1.82,83.4,-11826,82.5,50.3,9.86,13.37,0.4
Denmark,2022,Female,15-29,58981,448.98,45.2,2.09,81.1,1105,70.9,51.4,11.47,10.98,0.9
Denmark,2022,Female,30-44,4907531,233.1,41.5,1.6,80.1,16905,81.4,59.6,9.56,12.27,0.19
Denmark,2022,Female,45-64,4768150,31.59,37.9,1.83,75.9,5535,67.7,59.6,7.37,9.34,1.49
Denmark,2022,Female,65+,198306,361.48,41.8,2.06,80.4,-20328,88.6,49.9,10.66,10.64,-0.31
Denmark,2022,Total,0-14,3648397,136.27,45.2,1.48,83.9,1003,62.1,64.1,7.97,13.3,1.74
Denmark,2022,Total,15-29,4615771,45.26,43.9,1.32,76.2,43361,61.5,50.3,7.33,10.21,1.83
Denmark,2022,Total,30-44,687293,282.9,42.9,1.3,80.0,10,82.5,47.7,11.49,9.46,-0.09
Denmark,2022,Total,45-64,4181608,121.85,35.1,1.42,81.1,-7824,62.8,64.9,8.34,13.11,-0.84
Denmark,2022,Total,65+,3852010,244.2,37.1,1.77,78.3,-9676,78.1,47.9,10.99,13.14,0.43
Denmark,2023,Male,0-14,128743,258.61,37.7,1.38,76.5,-47613,61.3,60.0,7.4,11.94,-1.43
Denmark,2023,Male,15-29,2454710,112.11,41.2,1.44,81.5,-45703,76.7,58.0,7.77,11.88,-0.77
Denmark,2023,Male,30-44,2300477,264.36,35.5,1.37,83.4,24855,82.2,50.0,8.3,11.87,-1.03
Denmark,2023,Male,45-64,4532885,256.75,42.2,1.63,81.3,-44,60.1,62.8,8.35,12.01,1.73
Denmark,2023,Male,65+,416099,403.26,37.4,2.06,79.5,23346,69.5,52.2,10.35,11.8,-0.57
Denmark,2023,Female,0-14,4338570,366.58,39.1,1.91,78.1,48983,63.9,48.5,8.7,10.45,-0.11
Denmark,2023,Female,15-29,1176805,195.07,45.0,1.26,83.5,32598,79.7,46.3,7.83,9.81,0.66
Denmark,2023,Female,30-44,4037338,386.03,36.4,1.95,81.4,-6278,79.1,48.1,10.61,12.33,1.17
Denmark,2023,Female,45-64,2326881,221.76,36.3,1.93,80.9,-42296,60.8,63.5,11.26,11.15,-0.58
Denmark,2023,Female,65+,2322660,58.14,46.5,1.69,82.2,-34376,77.2,62.8,10.25,10.85,1.92
Denmark,2023,Total,0-14,2906064,405.56,41.3,1.7,75.9,-22785,77.6,62.8,11.69,8.32,0.5
Denmark,2023,Total,15-29,3736788,79.1,40.4,1.46,75.9,7205,64.0,61.3,10.03,13.7,-0.14
Denmark,2023,Total,30-44,3159848,346.27,40.2,1.94,76.8,-17855,82.6,55.5,8.84,8.4,0.99
Denmark,2023,Total,45-64,184278,162.02,45.9,1.47,79.0,-48933,72.2,64.2,7.41,10.62,0.72
Denmark,2023,Total,65+,3740789,312.1,41.2,1.83,75.5,5008,84.6,46.6,11.28,8.55,1.84
Denmark,2024,Male,0-14,4648615,317.74,36.8,1.26,76.9,17346,88.7,61.0,10.34,11.23,1.67
Denmark,2024,Male,15-29,2698323,316.12,39.9,1.63,78.7,-37356,64.6,48.6,9.17,12.84,-0.32
Denmark,2024,Male,30-44,78669,433.75,35.9,1.3,79.5,-48927,79.3,54.3,11.85,12.07,-1.46
Denmark,2024,Male,45-64,2412351,382.57,37.6,1.95,78.8,38293,66.9,50.1,7.16,9.78,0.84
Denmark,2024,Male,65+,4007887,233.55,37.3,2.01,76.8,35097,74.4,45.1,8.21,9.94,2.36
Denmark,2024,Female,0-14,2073106,418.11,39.2,2.02,83.8,-32050,65.1,60.4,8.12,8.49,2.0
Denmark,2024,Female,15-29,2388500,360.13,41.7,1.97,77.8,41378,82.3,62.9,11.63,10.27,-0.81
Denmark,2024,Female,30-44,3183105,301.15,42.9,1.38,78.5,-49467,72.3,48.2,11.61,8.02,2.08
Denmark,2024,Female,45-64,4417226,376.23,40.5,1.71,81.2,-28689,69.0,53.0,10.45,13.44,-0.98
Denmark,2024,Female,65+,4566025,438.93,43.1,1.79,80.5,-22088,65.2,56.9,11.18,12.53,1.51
Denmark,2024,Total,0-14,1197556,150.87,41.8,1.68,76.2,12866,69.4,46.0,11.74,11.85,2.01
Denmark,2024,Total,15-29,1230034,497.01,36.1,1.42,82.9,39976,67.6,62.5,11.62,12.02,2.23
Denmark,2024,Total,30-44,3765222,360.31,35.5,2.02,79.4,-27420,77.0,48.0,9.35,12.99,-1.44
Denmark,2024,Total,45-64,2203766,37.37,40.0,1.28,75.8,12805,78.9,55.6,7.34,13.81,2.05
Denmark,2024,Total,65+,2146958,87.5,46.3,1.62,77.8,-43180,71.6,53.1,7.83,8.14,-0.97
Estonia,2015,Male,0-14,1444208,436.95,36.6,1.74,79.0,37520,88.1,48.3,10.59,12.53,-1.14
Estonia,2015,Male,15-29,2648677,52.82,42.8,1.4,75.7,21,66.7,56.0,8.79,13.8,2.35
